group_name,group_level,strata_name,strata_level,variable_name,variable_level,variable_type,estimate_type,estimate,estimate_suppressed,standard_concept_name,standard_concept_id,source_concept_name,source_concept_id,domain_id,codelist_name,cohort_name,cdm_name
By concept,"Standard concept: COVID-19 vaccine, recombinant, full-length nanoparticle spike (S) protein, adjuvanted with Matrix-M Injectable Suspension (36119721) Source concept: Admin sec dose SARS-CoV-2 vacc (940617) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,"COVID-19 vaccine, recombinant, full-length nanoparticle spike (S) protein, adjuvanted with Matrix-M Injectable Suspension",36119721,Admin sec dose SARS-CoV-2 vacc,940617,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension (37003518) Source concept: Admin third dse SARS-CoV-2 vac (940623) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,49,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension",37003518,Admin third dse SARS-CoV-2 vac,940623,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin sec dose SARS-CoV-2 vacc (940617) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,6851,FALSE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin sec dose SARS-CoV-2 vacc,940617,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin third dse SARS-CoV-2 vac (940623) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin third dse SARS-CoV-2 vac,940623,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension (37003436) Source concept: Admin sec dose SARS-CoV-2 vacc (940617) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,7419,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension",37003436,Admin sec dose SARS-CoV-2 vacc,940617,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension (37003518) Source concept: Admin fourth SARS-CoV-2 vac (940624) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,9,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension",37003518,Admin fourth SARS-CoV-2 vac,940624,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension (37003436) Source concept: Admin fourth SARS-CoV-2 vac (940624) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,221,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension",37003436,Admin fourth SARS-CoV-2 vac,940624,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,7060,FALSE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin first dse SARS-CoV-2 vac,940616,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension (37003436) Source concept: Admin third dse SARS-CoV-2 vac (940623) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,245,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension",37003436,Admin third dse SARS-CoV-2 vac,940623,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension (37003436) Source concept: Admin fifth dse SARS-CoV-2 vac (940625) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,7,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension",37003436,Admin fifth dse SARS-CoV-2 vac,940625,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: COVID-19 vaccine, recombinant, full-length nanoparticle spike (S) protein, adjuvanted with Matrix-M Injectable Suspension (36119721) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,"COVID-19 vaccine, recombinant, full-length nanoparticle spike (S) protein, adjuvanted with Matrix-M Injectable Suspension",36119721,Admin first dse SARS-CoV-2 vac,940616,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension (37003518) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,6598,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension",37003518,Admin first dse SARS-CoV-2 vac,940616,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension (37003518) Source concept: Admin fifth dse SARS-CoV-2 vac (940625) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension",37003518,Admin fifth dse SARS-CoV-2 vac,940625,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
Codelist,Overall,Overall,Overall,Person count,Overall,Numeric,Count,14629,FALSE,NA,NA,NA,NA,NA,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension (37003518) Source concept: Admin fourth SARS-CoV-2 vac (940624) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,9,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension",37003518,Admin fourth SARS-CoV-2 vac,940624,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension (37003436) Source concept: Admin fifth dse SARS-CoV-2 vac (940625) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,7,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension",37003436,Admin fifth dse SARS-CoV-2 vac,940625,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: COVID-19 vaccine, recombinant, full-length nanoparticle spike (S) protein, adjuvanted with Matrix-M Injectable Suspension (36119721) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,NA,TRUE,"COVID-19 vaccine, recombinant, full-length nanoparticle spike (S) protein, adjuvanted with Matrix-M Injectable Suspension",36119721,Admin first dse SARS-CoV-2 vac,940616,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: COVID-19 vaccine, recombinant, full-length nanoparticle spike (S) protein, adjuvanted with Matrix-M Injectable Suspension (36119721) Source concept: Admin sec dose SARS-CoV-2 vacc (940617) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,NA,TRUE,"COVID-19 vaccine, recombinant, full-length nanoparticle spike (S) protein, adjuvanted with Matrix-M Injectable Suspension",36119721,Admin sec dose SARS-CoV-2 vacc,940617,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension (37003436) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,10768,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension",37003436,Admin first dse SARS-CoV-2 vac,940616,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension (37003518) Source concept: Admin sec dose SARS-CoV-2 vacc (940617) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,1143,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension",37003518,Admin sec dose SARS-CoV-2 vacc,940617,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension (37003436) Source concept: Admin fourth SARS-CoV-2 vac (940624) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,215,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension",37003436,Admin fourth SARS-CoV-2 vac,940624,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension (37003518) Source concept: Admin third dse SARS-CoV-2 vac (940623) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,49,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension",37003518,Admin third dse SARS-CoV-2 vac,940623,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin sec dose SARS-CoV-2 vacc (940617) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,6603,FALSE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin sec dose SARS-CoV-2 vacc,940617,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,6737,FALSE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin first dse SARS-CoV-2 vac,940616,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension (37003518) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,5125,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension",37003518,Admin first dse SARS-CoV-2 vac,940616,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin third dse SARS-CoV-2 vac (940623) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,NA,TRUE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin third dse SARS-CoV-2 vac,940623,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension (37003518) Source concept: Admin fifth dse SARS-CoV-2 vac (940625) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,NA,TRUE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension",37003518,Admin fifth dse SARS-CoV-2 vac,940625,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector - Ad26 100000000000 UNT/ML Injectable Suspension (739906) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,8,FALSE,"SARS-COV-2 (COVID-19) vaccine, vector - Ad26 100000000000 UNT/ML Injectable Suspension",739906,Admin first dse SARS-CoV-2 vac,940616,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension (37003436) Source concept: Admin sec dose SARS-CoV-2 vacc (940617) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,7080,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension",37003436,Admin sec dose SARS-CoV-2 vacc,940617,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension (37003436) Source concept: Admin third dse SARS-CoV-2 vac (940623) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,245,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension",37003436,Admin third dse SARS-CoV-2 vac,940623,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
Codelist,Overall,Overall,Overall,Record count,Overall,Numeric,Count,13913,FALSE,NA,NA,NA,NA,NA,AstraZeneca vaccine,astrazeneca,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,7060,FALSE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin first dse SARS-CoV-2 vac,940616,drug,AstraZeneca vaccine,astrazeneca,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin sec dose SARS-CoV-2 vacc (940617) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,6851,FALSE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin sec dose SARS-CoV-2 vacc,940617,drug,AstraZeneca vaccine,astrazeneca,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin third dse SARS-CoV-2 vac (940623) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin third dse SARS-CoV-2 vac,940623,drug,AstraZeneca vaccine,astrazeneca,CPRD GOLD
Codelist,Overall,Overall,Overall,Person count,Overall,Numeric,Count,6926,FALSE,NA,NA,NA,NA,NA,AstraZeneca vaccine,astrazeneca,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin sec dose SARS-CoV-2 vacc (940617) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,6603,FALSE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin sec dose SARS-CoV-2 vacc,940617,drug,AstraZeneca vaccine,astrazeneca,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,6737,FALSE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin first dse SARS-CoV-2 vac,940616,drug,AstraZeneca vaccine,astrazeneca,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US) (724905) Source concept: Admin third dse SARS-CoV-2 vac (940623) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,NA,TRUE,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL (non-US)",724905,Admin third dse SARS-CoV-2 vac,940623,drug,AstraZeneca vaccine,astrazeneca,CPRD GOLD
Codelist,Overall,Overall,Overall,Record count,Overall,Numeric,Count,2668,FALSE,NA,NA,NA,NA,NA,"COVID test, excl antibody",covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) not detected (715748) Domain: measurement,Overall,Overall,Record count,Overall,Numeric,Count,6,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) not detected,715748,measurement,"COVID test, excl antibody",covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) detected (715749) Domain: measurement,Overall,Overall,Record count,Overall,Numeric,Count,2662,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) detected,715749,measurement,"COVID test, excl antibody",covid_diagnostic_test,CPRD GOLD
Codelist,Overall,Overall,Overall,Person count,Overall,Numeric,Count,2499,FALSE,NA,NA,NA,NA,NA,"COVID test, excl antibody",covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) not detected (715748) Domain: measurement,Overall,Overall,Person count,Overall,Numeric,Count,6,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) not detected,715748,measurement,"COVID test, excl antibody",covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) detected (715749) Domain: measurement,Overall,Overall,Person count,Overall,Numeric,Count,2498,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) detected,715749,measurement,"COVID test, excl antibody",covid_diagnostic_test,CPRD GOLD
Codelist,Overall,Overall,Overall,Record count,Overall,Numeric,Count,1219,FALSE,NA,NA,NA,NA,NA,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: Patient meets COVID-19 laboratory diagnostic criteria (704996) Source concept: COVID-19 confirmed by laboratory test (940652) Domain: observation,Overall,Overall,Record count,Overall,Numeric,Count,431,FALSE,Patient meets COVID-19 laboratory diagnostic criteria,704996,COVID-19 confirmed by laboratory test,940652,observation,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: Patient meets COVID-19 clinical diagnostic criteria (704995) Source concept: COVID-19 confirmed using clinical diagnostic criteria (940653) Domain: observation,Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,Patient meets COVID-19 clinical diagnostic criteria,704995,COVID-19 confirmed using clinical diagnostic criteria,940653,observation,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: COVID-19 (37311061) Source concept: Acute diseas caused SARS-CoV-2 (940632) Domain: condition,Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,COVID-19,37311061,Acute diseas caused SARS-CoV-2,940632,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: Pneumonia caused by SARS-CoV-2 (3661408) Source concept: Pneumonia due to SARS-CoV-2 (940721) Domain: condition,Overall,Overall,Record count,Overall,Numeric,Count,11,FALSE,Pneumonia caused by SARS-CoV-2,3661408,Pneumonia due to SARS-CoV-2,940721,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: COVID-19 (37311061) Source concept: COVID-19 confirmed using clinical diagnostic criteria (940653) Domain: condition,Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,COVID-19,37311061,COVID-19 confirmed using clinical diagnostic criteria,940653,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: COVID-19 (37311061) Source concept: COVID-19 confirmed by laboratory test (940652) Domain: condition,Overall,Overall,Record count,Overall,Numeric,Count,431,FALSE,COVID-19,37311061,COVID-19 confirmed by laboratory test,940652,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: COVID-19 (37311061) Source concept: Disease caused by 2019-nCoV (novel coronavirus) (715737) Domain: condition,Overall,Overall,Record count,Overall,Numeric,Count,336,FALSE,COVID-19,37311061,Disease caused by 2019-nCoV (novel coronavirus),715737,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: Infection of upper respiratory tract caused by Severe acute respiratory syndrome coronavirus 2 (37310286) Source concept: URTI due to SARS-CoV-2 (940859) Domain: condition,Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,Infection of upper respiratory tract caused by Severe acute respiratory syndrome coronavirus 2,37310286,URTI due to SARS-CoV-2,940859,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
Codelist,Overall,Overall,Overall,Person count,Overall,Numeric,Count,736,FALSE,NA,NA,NA,NA,NA,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
