NCO_name,concept_id,concept_name
Hearing loss,36676503,"Mandibular hypoplasia, deafness, progeroid syndrome"
Hearing loss,36716441,Gingival fibromatosis with progressive deafness syndrome
Hearing loss,37312024,Auditory synaptopathy
Hearing loss,37204438,Stickler syndrome type 3
Hearing loss,37111374,X-linked diffuse leiomyomatosis with Alport syndrome
Hearing loss,4197058,Wildervanck syndrome
Hearing loss,37116291,Ectodermal dysplasia and sensorineural deafness syndrome
Hearing loss,37395914,Deafness and oligodontia syndrome
Hearing loss,37399490,Lowry Yong syndrome
Hearing loss,35622342,Keipert syndrome
Hearing loss,4030439,Metabolic presbycusis
Hearing loss,4334251,Usher syndrome type 2
Hearing loss,36674894,"Severe motor and intellectual disabilities, sensorineural deafness, dystonia syndrome"
Hearing loss,36715049,Distal arthrogryposis type 6
Hearing loss,36713484,Hereditary sensory and autonomic neuropathy with deafness and global delay
Hearing loss,4034963,"Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness"
Hearing loss,37396008,Charcot-Marie-Tooth disease type IE
Hearing loss,36716152,Ocular albinism with late-onset sensorineural deafness
Hearing loss,37119067,"Hypoparathyroidism, deafness, renal disease syndrome"
Hearing loss,4030066,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction"
Hearing loss,37396430,Chitty Hall Baraitser syndrome
Hearing loss,37204730,Familial steroid-resistant nephrotic syndrome with sensorineural deafness
Hearing loss,4339018,Usher syndrome type 1
Hearing loss,36716456,Distal renal tubular acidosis co-occurrent with sensorineural deafness
Hearing loss,4150172,Ototoxicity - deafness
Hearing loss,37116289,"Mitochondrial myopathy, lactic acidosis, deafness syndrome"
Hearing loss,37204318,Renal caliceal diverticuli and deafness syndrome
Hearing loss,37109990,Sensorineural deafness with dilated cardiomyopathy syndrome
Hearing loss,37399510,Tungland Bellman syndrome
Hearing loss,36716323,"Autosomal dominant cerebellar ataxia, deafness and narcolepsy syndrome"
Hearing loss,36674396,Deafness with onychodystrophy syndrome
Hearing loss,36715416,Deafness and intellectual disability Martin Probst type syndrome
Hearing loss,4187687,Bone conduction deafness
Hearing loss,4249738,Air conduction deafness
Hearing loss,36715123,Cardiospondylocarpofacial syndrome
Hearing loss,37204836,"Conductive deafness, malformed external ear syndrome"
Hearing loss,37116641,"Metaphyseal dysostosis, intellectual disability, conductive deafness syndrome"
Hearing loss,36714451,Multiple epiphyseal dysplasia Beighton type
Hearing loss,36716445,Hennekam Beemer syndrome
Hearing loss,36715816,Johnson neuroectodermal syndrome
Hearing loss,4207361,"Oto-palato-digital syndrome, type I"
Hearing loss,4062469,O/E -tune fork=conductive deaf
Hearing loss,36716461,Thickened earlobe with conductive deafness syndrome
Hearing loss,36713800,Spondyloepiphyseal dysplasia MacDermot type
Hearing loss,44784463,Congenital deaf mutism
Hearing loss,43021776,Deafness of right ear
Hearing loss,4107706,Psychogenic deafness
Hearing loss,36717524,MEDNIK syndrome
Hearing loss,35622687,Branchiootic syndrome
Hearing loss,36715086,Bosley Salih Alorainy syndrome
Hearing loss,4062835,O/E - significantly deaf
Hearing loss,37111627,"Central nervous system calcification, deafness, tubular acidosis, anemia syndrome"
Hearing loss,37396434,Sellars Beighton syndrome
Hearing loss,36717662,Oro-facial digital syndrome type 11
Hearing loss,36676639,"Aphonia, deafness, retinal dystrophy, bifid halluces, intellectual disability syndrome"
Hearing loss,36716108,"Lipodystrophy, intellectual disability, deafness syndrome"
Hearing loss,36713762,Deafness and hypogonadism syndrome
Hearing loss,36715050,Ataxia with deafness and intellectual disability syndrome
Hearing loss,35623820,Lowe Kohn Cohen syndrome
Hearing loss,4309773,Complete deafness
Hearing loss,4064204,O/E - slightly deaf
Hearing loss,36680584,Autosomal dominant aplasia and myelodysplasia
Hearing loss,37119051,"Nephrosis, deafness, urinary tract, digital malformation syndrome"
Hearing loss,4196063,Deafmutism-retinal degeneration syndrome
Hearing loss,36687171,Congenital malformation of right ear with impairment of hearing
Hearing loss,36676693,"Hypertelorism, preauricular sinus, punctual pits, deafness syndrome"
Hearing loss,4111340,Hystrix ichthyosis with deafness
Hearing loss,44784462,Acquired deaf mutism
Hearing loss,37111590,Caudal appendage deafness syndrome
Hearing loss,4051473,Earpit syndrome
Hearing loss,4097391,Robinson nail dystrophy-deafness syndrome
Hearing loss,761775,Congenital anomaly of right external ear with impairment of hearing
Hearing loss,35622286,"Deafness, encephaloneuropathy, obesity, valvulopathy syndrome"
Hearing loss,4291940,Toxic deafness
Hearing loss,45765425,"Congenital deafness with labyrinthine aplasia, microtia and microdontia"
Hearing loss,36717395,Athabaskan brainstem dysgenesis syndrome
Hearing loss,37396436,Deafness craniofacial syndrome
Hearing loss,37396376,Nathalie syndrome
Hearing loss,4170892,Waardenburg's syndrome
Hearing loss,37396221,Waardenburg Shah syndrome
Hearing loss,36715041,Deafness and myopia syndrome
Hearing loss,37395900,Spastic paraparesis and deafness
Hearing loss,45757272,Temporary auditory threshold shift
Hearing loss,37396341,Kawashima Tsuji syndrome
Hearing loss,36715141,"Coloboma, congenital heart disease, ichthyosiform dermatosis, intellectual disability ear anomaly syndrome"
Hearing loss,4224197,Partial deafness
Hearing loss,43021777,Deafness of left ear
Hearing loss,36713651,Abruzzo Erickson syndrome
Hearing loss,4221873,"Traumatic deafness, occupational"
Hearing loss,193210,Transient ischemic deafness
Hearing loss,4063202,O/E - very deaf
Hearing loss,36715332,Fine Lubinsky syndrome
Hearing loss,4103701,Melnick-Fraser syndrome
Hearing loss,37118645,"Dysmorphism, short stature, deafness, disorder of sex development syndrome"
Hearing loss,381306,Deaf mutism
Hearing loss,4030440,Birth trauma deafness
Hearing loss,44783181,Congenital prelingual deafness
Hearing loss,36687172,Congenital malformation of left ear with impairment of hearing
Hearing loss,36674897,Sinoatrial node dysfunction and deafness
Hearing loss,37109996,"Retinitis pigmentosa, intellectual disability, deafness, hypogenitalism syndrome"
Hearing loss,376793,Congenital anomaly of ear with impairment of hearing
Hearing loss,37395902,"Phocomelia, ectrodactyly, deafness and sinus arrhythmia syndrome"
Hearing loss,4218769,"Traumatic deafness, non-occupational"
Hearing loss,35622936,Total visual and total hearing impairment
Hearing loss,4064205,O/E - completely deaf
Hearing loss,36714183,Stapes ankylosis with broad thumb and toe syndrome
Hearing loss,4064208,O/E - High tone deafness
Hearing loss,37118960,Ramos Arroyo syndrome
Hearing loss,37116960,Wolfram-like syndrome
Hearing loss,4077675,O/E - deaf
Hearing loss,4210155,Tone deafness
Hearing loss,36715051,"Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome"
Hearing loss,4231457,Traumatic deafness
Hearing loss,37117238,"Neutropenia, monocytopenia, deafness syndrome"
Hearing loss,761777,Congenital anomaly of bilateral external ears with impairment of hearing
Hearing loss,4048164,Chronic deafness
Hearing loss,36717145,Deaf blind hypopigmentation syndrome Yemenite type
Hearing loss,4254349,Occupational deafness
Hearing loss,36714552,X-linked hereditary sensory and autonomic neuropathy with deafness
Hearing loss,4036957,Bilateral deafness
Hearing loss,4169069,Upper frequency deafness
Hearing loss,4334791,Combined visual and hearing impairment
Hearing loss,37115760,Coxoauricular syndrome
Hearing loss,4318712,Congenital deafness
Hearing loss,4324406,Hysterical deafness
Hearing loss,4133465,"Knuckle pads, deafness AND leukonychia syndrome"
Hearing loss,37116377,"Deafness, vitiligo, achalasia syndrome"
Hearing loss,761776,Congenital anomaly of left external ear with impairment of hearing
Hearing loss,36713539,Bilateral microtia with deafness and cleft palate syndrome
Hearing loss,36715334,Fountain syndrome
Hearing loss,36716264,Severe X-linked intellectual disability Gustavson type
Hearing loss,36713569,Branchiogenic deafness syndrome
Hearing loss,4096639,Noise-induced permanent threshold shift
Hearing loss,36687173,Bilateral impairment of hearing of ears co-occurrent and due to congenital ear malformation
Hearing loss,36717151,Hirschsprung disease with deafness and polydactyly syndrome
Hearing loss,35623047,"Peripheral demyelinating neuropathy, central dysmyelinating leukodystrophy, Waardenburg syndrome, Hirschsprung disease"
Hearing loss,45765490,Arts syndrome
Hearing loss,4155091,Deafness symptom
Hearing loss,141305,Unilateral sensorineural hearing loss with unrestricted hearing on the contralateral side
Hearing loss,379831,Unilateral neural hearing loss
Hearing loss,433496,Unilateral sensory hearing loss
Hearing loss,434046,Unilateral mixed conductive and sensorineural hearing loss with unrestricted hearing on the contralateral side
Hearing loss,440121,Unilateral conductive hearing loss with unrestricted hearing on the contralateral side
Hearing loss,764553,Family history of congenital sensorineural hearing loss
Hearing loss,2110348,"GJB2, commonly called Connexin-26 (hereditary hearing loss) Connexin-32 (GJB2) (hereditary deafness) (Deprecated)"
Hearing loss,4077870,Pattern of hearing loss
Hearing loss,4232398,Family history of hearing loss
Hearing loss,40484010,Unilateral conductive hearing loss
Hearing loss,40661254,Patient does not have verification and documentation of sudden or rapidly progressive hearing loss
Hearing loss,40663930,"Patient is not eligible for the ""referral for otologic evaluation for sudden or rapidly progressive hearing loss"" measure"
Hearing loss,40659147,Verification and documentation of sudden or rapidly progressive hearing loss
Hearing loss,40760811,Hearing loss newborn screening comment/discussion
Hearing loss,40761333,Hearing loss risk indicators [Identifier]
Hearing loss,40770053,Have you ever suffered a hearing loss from meningitis or encephalitis [PhenX]
Hearing loss,43021276,No history of hearing loss
Hearing loss,43021962,History of hearing loss
Hearing loss,44804508,No family history of hearing loss
Hearing loss,4051238,FH: Deafness
Hearing loss,4051705,FH: Father deaf
Hearing loss,2313785,Auditory rehabilitation; prelingual hearing loss
Hearing loss,2313786,Auditory rehabilitation; postlingual hearing loss
Hearing loss,2721066,Audiometry for hearing aid evaluation to determine the level and degree of hearing loss
Hearing loss,4239539,Special audiologic evaluation for functional hearing loss
Hearing loss,46257746,"Hearing loss (eg, nonsyndromic hearing loss, Usher syndrome, Pendred syndrome); duplication/deletion analysis panel, must include copy number analyses for STRC and DFNB1 deletions in GJB2 and GJB6 genes"
Hearing loss,46257661,"Hearing loss (eg, nonsyndromic hearing loss, Usher syndrome, Pendred syndrome); genomic sequence analysis panel, must include sequencing of at least 60 genes, including CDH23, CLRN1, GJB2, GPR98, MTRNR1, MYO7A, MYO15A, PCDH15, OTOF, SLC26A4, TMC1, TMPRSS3"
Hearing loss,1616294,Hearing loss configuration Ear - right
Hearing loss,1616499,Hearing loss configuration Ear - left
Hearing loss,1616502,Hearing loss degree.min Ear - right
Hearing loss,1616336,Hearing loss type Ear - left
Hearing loss,1616792,Hearing loss degree.min Ear - left
Hearing loss,1616836,Hearing loss degree Ear - left
Hearing loss,1616981,Hearing loss degree.max Ear - right
Hearing loss,1617133,Hearing loss degree.max Ear - left
Hearing loss,1617566,Hearing loss degree Ear - right
Hearing loss,1617578,Hearing loss type Ear - right
Hearing loss,1988979,Hearing loss multigene analysis in Blood or Tissue by Molecular genetics method
Hearing loss,3050392,Hearing loss newborn screening interpretation
Hearing loss,40765740,PhenX - personal and family history of hearing loss protocol 201501
Hearing loss,43527946,"GJB2 (gap junction protein, beta 2, 26kDa, connexin 26) (eg, nonsyndromic hearing loss) gene analysis; full gene sequence"
Hearing loss,43527947,"GJB2 (gap junction protein, beta 2, 26kDa, connexin 26) (eg, nonsyndromic hearing loss) gene analysis; known familial variants"
Hearing loss,43527948,"GJB6 (gap junction protein, beta 6, 30kDa, connexin 30) (eg, nonsyndromic hearing loss) gene analysis, common variants (eg, 309kb [del(GJB6-D13S1830)] and 232kb [del(GJB6-D13S1854)])"
Hearing loss,46271821,Screening for hearing loss
Hearing loss,3015514,Body height --standing
Hearing loss,3025315,Body weight
Hearing loss,3003037,Chemotherapy treatment Cancer
Hypothyroidism,132583,Postablative hypothyroidism
Hypothyroidism,133728,Congenital hypothyroidism
Hypothyroidism,134312,Iatrogenic hypothyroidism
Hypothyroidism,137820,Postoperative hypothyroidism
Hypothyroidism,138384,Acquired hypothyroidism
Hypothyroidism,140062,Iodine hypothyroidism
Hypothyroidism,140673,Hypothyroidism
Hypothyroidism,4009783,Hyperthermia-hyperphagia-hypothyroidism syndrome
Hypothyroidism,4030047,Hypothyroidism due to TSH receptor blocking antibody
Hypothyroidism,4030049,Post-infectious hypothyroidism
Hypothyroidism,4032331,Hypothyroidism following external radiotherapy
Hypothyroidism,4034824,Hypothyroidism due to iodide organification defect
Hypothyroidism,4034815,Autoimmune hypothyroidism
Hypothyroidism,4065088,Congenital hypothyroidism with ectopic thyroid
Hypothyroidism,4071079,Neonatal jaundice with congenital hypothyroidism
Hypothyroidism,4081998,Congenital hypothyroidism with diffuse goiter
